ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
PA;Novo Progresso, Altamira;GSD 10 cm;Aerofotogrametria e perfilamento a laser;143/2019;AEROSAT;192/2019
ES;Cachoeiro de Itapemirim, Castelo, Vargem Alta;GSD 10 cm;Aerofotogrametria e perfilamento a laser;176/2019;AEROSAT;195/2019
PA;Almerim;GSD 10 cm;Aerofotogrametria e perfilamento a laser;116/2019;AEROSAT;186/2019
AP;Laranjal do Jari;GSD 10 cm;Aerofotogrametria e perfilamento a laser;116/2019;AEROSAT;186/2018
SC;Garuva, Joinville, Campo Alegre;GSD 10 cm;Aerofotogrametria e perfilamento a laser;167/2019;AEROSAT;189/2019
PR;Tijuca do Sul;GSD 10 cm;Aerofotogrametria e perfilamento a laser;167/2019;AEROSAT;189/2019
PR;Ibiporã, Londrina;GSD 10 cm;Aerofotogrametria e perfilamento a laser;214/2019;AEROSAT;198/2019
MT;Jaciara;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;120/2017;AEROTRI;052/2017
SP;Campinas;GSD 10 cm;Aerofotogrametria;211/2017;AEROTRI;059/2017
MG;Araguari;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;072/2017;AEROTRI;047/2017
SE;Nossa Senhora do Socorro;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;119/2017;AEROTRI;049/2017
AL;Penedo;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;119/2017;AEROTRI;049/2017
SP;Jales;GSD 10 cm;Aerofotogrametria;124/2017;AEROTRI;050/2017
SP;Monte Aprazível;GSD 10 cm;Aerofotogrametria;123/2017;AEROTRI;051/2017
MG;Belo Horizonte;GSD 10 cm;Aerofotogrametria;205/2017;AEROTRI;063/2017
GO;Goiânia;GSD 10 cm;Aerofotogrametria;206/2017;AEROTRI;065/2017
GO;Acreúna, Rio Verde, Paraúna, Santo Antônio da Barra;GSD 30 cm;Aerofotogrametria e Perfilamento a Laser;013/2018;AEROTRI;058/2017
MT;Juscimeira;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;172/2018;AEROTRI;082/2018
ES;São Mateus;GSD 10 cm;Aerofotogrametria;143/2018;AEROTRI;083/2018
PR;Umuarama;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;150/2018;AEROTRI;084/2018
MG;Três Corações;GSD 7 cm;Aerofotogrametria;222/2018;AEROTRI;093/2018
SP;Presidente Prudente;GSD 10 cm;Aerofotogrametria;219/2018;AEROTRI;095/2018
SP;São José dos Campos, São Paulo;GSD 6 e 21 cm;Aerofotogrametria;041/2016;BASE;B-1247
SP;Itapura;GSD 6 cm;Aerofotogrametria;044/2016;BASE;B-1249
SP;Campinas;GSD 6 cm;Aerofotogrametria;049/2016;BASE;B-1248
SP;Monte Mor, Nova Odessa, Sumaré;GSD 10 cm;Aerofotogrametria;147/2016;BASE;B-1255
SP;Bragança Paulista;GSD 10 e 45 cm;Aerofotogrametria;085/2016;BASE;B-1252
SP;São Paulo;GSD 6 cm;Aerofotogrametria;019/2017;BASE;B-1259
SP;Cajamar, Santana de Parnaíba, Caieiras, São Paulo, Osasco, Taboão da Serra, Barueri;GSD 22 cm;Aerofotogrametria;040/2017;BASE;B-1261
MG;Claraval, Ibiraci, Sacramento, Cássia, Itaú de Minas, Passos, Bom Jesus da Penha, Nova Resende, Juruaia, Muzambinho, Monte Belo, Cabo Verde, Divisa Nova, Campestre, Poço Fundo, Ipuíuna, Espírito Santo do Dourado, Congonhal, Silvianópolis, Pouso Alegre, São Sebastião da Bela Vista, Santa Rita do Sapucaí, Cachoeira de Minas, Piranguinho, Brasópolis, Piranguçu, Itajubá, Wenceslau Braz, Delfim Moreira;GSD 16 cm;Aerofotogrametria e Perfilamento a Laser;116/2017;BASE;B-1266
SP;Piquete, Guaratinguetá, Lorena, Cruzeiro, Cachoeira Paulista;GSD 16 cm;Aerofotogrametria e Perfilamento a Laser;116/2017;BASE;B-1266
