ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
RO;Candeias do Jamari, Cujubim, Porto Velho, Itapuã do Oeste;Não aplicável;Perfilamento a Laser;015/2017;SAI;001/2017
SP;Itaporanga, Coronel Macedo, Taquarituba, Itaí, Avaré, Botucatu, Pratânia, São Manoel, Igaraçu do Tietê, Barra Bonita, Jaú, Bocaína, Dourado, Trabiju, Boa Esperança do Sul, Ribeirão Preto, Jardinópolis, Brodowski, Patrocínio Paulista, Itirapuã;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;014/2017;SAI;002/2017
PA;Anapu e Senador José Porfírio;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;009/2017;SAI;003/2017
SP;Praia Grande e São Vicente;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;018/2017;SAI;004/2017
BA;Campo Formoso, Senhor do Bonfim e Jaguari;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;010/2017;SAI;005/2017
BA;Correntina, Jaborandi e Cocos;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;020/2017;SAI;006/2017
GO;Posse, Mambaí, Damianópolis, Sítio d'Abadia;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;020/2017;SAI;006/2017
MG;Formoso e Arinos;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;020/2017;SAI;006/2017
BA;Buritirama, Pilão Arcado, Campo Alegre de Lourdes ;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;021/2017;SAI;007/2017
PI;Fartura do Piauí, Dirceu Arcoverde, Cornoel José Dias, Dom Inocência, Lagoa do Barro do Piauí, Queimada Nova, Acauã, Betânia do Piauí e Curral Novo do Piauí;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;021/2017;SAI;007/2017
BA;Caetité, Guanambi, Candiba, Pindaí, Urandí;Não aplicável;Perfilamento a Laser;030/2017;SAI;008/2017
MG;Espinosa, Mamonas, Monte Azul, Catuti, Mato Verde, Pai Pedro, Porteirinha, Janaúba, Nova Porteirinha, Capitão Enéas, Francisco Sá, Montes Augusto Lima, Santo Hipólito, Monjolos, Presidente Juscelino;Não aplicável;Perfilamento a Laser;030/2017;SAI;008/2017
PA;Santa Isabel do Pará, Benevides, Marituba, Ananindeua, Belém, Acará, Barcarena;Não aplicável;Perfilamento a Laser;026/17;SAI;009/2017
BA;Buritirama, Pilão Arcado, Campo Alegre de Lourdes, Remanso;Não aplicável;Perfilamento a Laser;027/2017;SAI;010/2017
PI;Fartura do Piauí, Dirceu Arcoverde, Coronel José dias, Dom Inocêncio, Lagoa do Barro do Piauí, Queimada Nova;Não aplicável;Perfilamento a Laser;027/2017;SAI;010/2017
SP;Ilha Solteira, Pereira Barreto, Sud Mennuccci, Guzolândia, Auriflama, Dirce Reis, Palmeiras D'Oeste, Marinópolis, Aparecida D'Oeste, Suzanápolis, Rubinéia, Nova Canaã Paulista, Santana da Ponte Pensa, Três Fronteiras, Santa Fé do Sul, Santa Clara D'Oeste, Santa Rita D'Oeste, Santa Albertina, Mesópolis, Populina, Ouroeste, Indiaporã;Não aplicável;Perfilamento a Laser;032/2017;SAI;011/2017
MG;Iturama, Carneirinho, Limeira D'Oeste, Santa Vitória;Não aplicável;Perfilamento a Laser;032/2017;SAI;011/2017
GO;São Simão, Caçu, Itarumã, Itajá, Lagoa Santa;Não aplicável;Perfilamento a Laser;032/2017;SAI;011/2017
MS;Parnaíba, Aparecida do Taboado, Selvíria;Não aplicável;Perfilamento a Laser;032/2017;SAI;011/2017
SP;Paulicéia, Castilho, Andradina, Pereira Barreto, Ilha Solteira, Itapura;Não aplicável;Perfilamento a Laser;082/2017;SAI;012/2017
MS;Selvíria, Três Lagoas;Não aplicável;Perfilamento a Laser;082/2017;SAI;012/2017
AM;Manaus;Não aplicável;Perfilamento a Laser;035/2017;SAI;013/2017
PA;Belterra;Não aplicável;Perfilamento a Laser;035/2017;SAI;013/2017
MT;Feliz Natal;Não aplicável;Perfilamento a Laser;035/2017;SAI;013/2017
SP;Ubatuba, São Luís do Paraitinga;Não aplicável;Perfilamento a Laser;035/2017;SAI;013/2017
SC;Guaramirim, Massaranduba;Não aplicável;Perfilamento a Laser;035/2017;SAI;013/2017
SP;Barueri, Santana de Parnaíba;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;033/2017;SAI;014/2017
BA;Rio Real, Acajutiba, Esplanada, Entre Rios, Araças, Alagoinha, Catu, Pojuca;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;041/2017;SAI;015/2017
SE;Itabaianinha, Tomar do Geru;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;041/2017;SAI;015/2017
TO;Tupiratins, Itapiratins, Palmeirante, Barra do Ouro, Goiatins, Filadélfia;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;042/2017;SAI;016/2017
MG;Leopoldina, Laranjal, Recreio;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;048/2017;SAI;017/2017
PA;Jacareacanga;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;049/2017;SAI;018/2017
MT;Apiacás, Paranaíta;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;049/2017;SAI;018/2017
AM;Apuí, Maués;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;049/2017;SAI;018/2017
RS;Camaquã, Arambaré, Tapes, Sentinela do Sul, Barra do Ribeiro, Mariana Pimentel, Guaíba, Eldorado do Sul, Nova Santa Rita, Montenegro, Triunfo, Tabaí, Taquari, Paverama, Fazenda Vilanova, Bom Retiro do Sul, Estrela, Lajeado, Forquetinha, Arroio do Meio, Marques de Souza, Travesseiro, Coqueiro Baixo, Pouso Novo, São José do Herval, Fontoura Xavier, Soledade, Mormaço, Tio Hugo, Victor Graeff, Santo Antônio do Planalto, Carazinho, Maquiné, Terra de Areia, Três Forquilhas, Três Cachoeiras, Dom Pedro de Alcântara, Torres;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;067/2017;SAI;019/2017
SC;Passo de Torres, São João do Sul;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;067/2017;SAI;019/2017
MG;Governador Valadares, Mathias Lobato, Frei, Inocêncio, Campanário, Itambacuri, Poté, Teófilo Otoni;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;095/2017;SAI;022/2017
BA;Macarani, Ribeirão do Largo, Itambé, Caatiba, Barra do Choça, Planalto;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;095/2017;SAI;022/2017
MG;Mutum, Taparuba, Pocrane;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;083/2017;SAI;023/2017
BA;Casa Nova;;Aerofotogrametria e Perfilamento a Laser;084/2017;SAI;024/2017
GO;Jataí, Rio Verde;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;085/2017;SAI;025/2017
PA;Pau D'Arco, Rio Maria, Santa Maria da Barreiras, Santana do Araguaia;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;086/2017;SAI;026/2017
RJ;Manguaratiba, Itaguaí;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;087/2017;SAI;027/2017
MG;Ouro Preto, Itabirito, Rio Acima;;Aerofotogrametria e Perfilamento a Laser;089/2017;SAI;028/2017
RO;Ji-Paraná, Ouro Preto do Oeste, Jaru, Theobroma, Cacaulândia, Ariquemes, Rio Crespo, Alto Paraíso, Cujubim, Itapuã do Oeste, Candeias do Jamari;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;088/2017;SAI;029/2017
PA;Anapu, Vitória do Xingu, Altamira, Brasil Novo, Medicilândia, Uruará, Santarém;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;098/2017;SAI;030/2017
MG;Vespasiano, São José da Lapa, Lagoa Santa, Confins, Pedro Leopoldo;GSD 30 cm;Aerofotogrametria e Perfilamento a Laser;096/2017;SAI;031/2017
MG;Porteirinha;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;114/2017;SAI;033/2017
MG;Uberlândia;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;117/2017;SAI;035/2017
RJ;Volta Redonda;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;118/2017;SAI;036/2017
RS;Porto Alegre;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;168/2017;SAI;037/2017
BA;Mata de São João, Camaçari;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;145/2017;SAI;038/2017
MT;Corumbá, Barrão do Melgaço, Santo Antônio do Leverger, Itiquira, Rondonópolis;;Aerofotogrametria e Perfilamento a Laser;146/2017;SAI;039/2017
GO;Bom Jardim do Goiás, Montes Claros de Goiás, Arenópolis, Piranhas;;Aerofotogrametria o Perfilamento a Laser;146/2017;SAI;039/2017
MS;Ribas do Rio Pardo, Santa Rita do Pardo, Bataguassu;;Aerofotogrametria e Perfilamento a Laser;146/2017;SAI;039/2017
MG;Descoberto, Guarani, Piraúba, Astolfo Dutra, Dona Eusébia, Itamarati de Minas, Cataguases, Leopoldina, Laranjal, Recreio;;Aerofotogrametria e Perfilamento a Laser;146/2017;SAI;039/2017
RJ;Cordeiro, Macuco, Trajano de Moraes, São Sebastião do Alto, Santa Maria Madalena, São Fidélis;;Aerofotogrametria e Perfilamento a Laser;146/2017;SAI;039/2017
SC;Balneário Camboriú;;Aerofotogrametria e Perfilamento a Laser;172/2017;SAI;042/2017
SP;Atibaia, Bragança Paulista, Piracaia, Igaratá, São José dos Campos;;Aerofotogrametria e Perfilamento a Laser;173/2017;SAI;043/2017
RJ;Barra Mansa, Volta Redonda, Piraí;;Aerofotogrametria e Perfilamento a Laser;173/2017;SAI;043/2017
SP;São Paulo, Itanhaém, São Vicente, Bernardo do Campo, Diadema, São Caetano do Sul, Santo André, Mauá, Ferraz de Vasconcelos, Itaquaquecetuba, Guarulhos, Mairiporã, Caieiras, Santana de Parnaíba, Osasco, Taboão da Serra, Embu das Artes, Itapecerica da Serra, Embu Guaçu, Juquitiba;1:2.000;Aerofotogrametria e Perfilamento a Laser;028/2017;SAI;034A/2016
ES;Baixo Guandu, Itaguaçu, São Roque do Canaã, Colatina, João Neiva;1:2.000;Aerofotogrametria e Perfilamento a Laser;081/2017;SAI;021/2017
RS;Porto Alegre, Viamão;1:2.000;Aerofotogrametria e Perfilamento a Laser;103/2017;SAI;034/2017
CE;Fortaleza;1:2.000;Aerofotogrametria e Perfilamento a Laser;113/2017;SAI;032/2017
MT;Vila Bela da Santíssima Trindade, Nova Lacerda, Comodoro, Sapezal, Campos de Júlio;1:2.000;Aerofotogrametria e Perfilamento a Laser;151/2017;SAI;040/2017
PE;Arcoverde, Buíque, Pedra, Venturosa, Paranatama, Caetés, Capoeiras, Jucali, Garanhuns, Saloá, São Bento do Uma, Calçado, Angelim, Pesqueira, Alagoinha, Jupi;1:2.000;Aerofotogrametria e Perfilamento a Laser;171/2017;SAI;041/2017
MA;Godofredo Viana, Luís Domingues;1:2.000;Aerofotogrametria e Perfilamento a Laser;202/2017;SAI;044/2017
RN;Serra do Mel, Mossoró, Areia Branca;1:2.000;Aerofotogrametria e Perfilamento a Laser;017/2018;SAI;001/2018
SP;São Bernardo do Campo, Santo André;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;018/2018;SAI;002/2018
SP;Santos, Guarujá, Bertioga;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;048/2018;SAI;004/2018
GO;Mambaí;1:2.000;Aerofotogrametria e Perfilamento a Laser;084/2018;SAI;013/2018
BA;Jaborandi, Cocos, Feira da Mata;1:2.000;Aerofotogrametria e Perfilamento a Laser;084/2018;SAI;013/2018
PR;Capanema, Capitão Leônidas Marques, Céu Azul, Matelândia, Serranópolis do Iguaçu;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;053/2018;SAI;010/2018
MT;Chapada dos Guimarães;1:10.000;Aerofotogrametria e Perfilamento a Laser;081/2018;SAI;012/2018
GO;Serranópolis, Jataí, Rio Verde, Gouvelândia, Cachoeira Dourada, Inaciolândia, Quiriniópolis, Porangatu, Santa Tereza de Goiás, Formoso, Campinaçu, Minaçu, Petrolina de Goiás, Abadiania, Pirenópolis, São Francisco de Goiás, Damolândia, Inhumas, Araçu, Anicuna, Itaberaí, Turvânia, Firminópolis, São Luis de Montes Belos, São João da Paraúna, Paraúna, Aurilândia,  Moiporá, Israelândia, Iporá, Arenópolis, Piranhas, Bom Jardim de Goiás, Aragarças;0,736111111;Aerofotogrametria e Perfilamento a Laser;031/2018;SAI;003/2018
RO;Porto Velo, Novo Mamoré, Guajará-Mirim;1:5.000;Aerofotogrametria e Perfilamento a Laser;063/2018;SAI;006/2018
GO;Santa Rira do Araguaia, Perolândia, Mineiros, Chapão do Céu, Serranópolis, Jataí, Doverlândia, Baliza, Caiapônia, Palestina de Goiás, Piranhas, Bom Jardim de Goiás, Montes Claros de Goiás, Arenópolis, Diorama, Iporá, Israelândia, Amorinópolis, São Luís de Montes Belos, Montividiu, Rio Verde, Aparecida do Rio Doce, Santa Helena de Goiás, Santo Antônio da Barra, Acreúna, Paraúna, Jandaia, Indiara, Edéia, Turvelândia, Porteirão, Edealina, Pontalina, Morrinhos, Caldas Novas, Itumbiara, Catalão, Ipameri, Nova Aurora, Goiandira, Davinópolis, Cachoeira Alta, Itarumã, Itajá, Minaçu, São Miguel, do Araguaia, Novo Planalto, Mundo Novo, Porangatu, Formoso, Mutúópolis, Mara Rosa, Campos Verdes, Uruaçu, Pilar de Goiás, Niquelândia, Barro Alto, Vila Propício, Padre Bernardo, Mimoso de Goiás, Flores de Goiás, Posse, Iaciara, Alto Paraíso de Goiás, Cavalcante, Guarani de Goiás, Teresina de Goiás, Nova Roma, São Domingos, Divinópolis de Goiás, Santo Antônio do Descoberto, Luziânia, Caçu, Quirinópolis, Águas Lindas de Goiás, Maurilândia, Castelândia, Gouvelândia, Santa Terezinha de Goiás, Alto Horizonte, Bonópolis, Monte Alegre de Goiás, Campos Belos, Brasília;1:1.000;Aerofotogrametria e Perfilamento a Laser ;085/2018;SAI;011/2018
PR;Ariranha do Ivaí,  Manoel Ribas, Cândido de Abreu, Turvo, Prudentópolis, Ivaí, Ipiranga, Imbituva,  Irati, Teixeira Soares, Ponta Grossa, Castro, Palmeira, São João do Triunfo, Guarapuava, Pinhão, Bituruba, Cruz Machado, Porto Vitória, União da Vitória, Paula Freitas;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;089/2018;SAI;005/2018
RJ;Parati, Petrópolis, Magé, Guapimirim, Teresópolis, Nova Friburgo, Sumidouro, Duas Barras, Carmo, Cantagalo, São Sebastião do Alto, Itaocara, Aperibé, Santo Antônio de Pádua, Miracema, Santa Maria Madalena, Conceição de Macabu, Carapebus, Quissimã, Campos dos Goytacazes, São João da Barra, São Francisco da Itabapoana, Cardoso Moreira, Italva, Itaperuna, Natividade, Bom Jesus do Itabapoana, Porciúncula;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;098/2018;SAI;014/2018
PA;Melgaço, Portel, Faro, Oriximiná, Terra Santa, Itaituba, Altamira;1,430555556;Aerofotogrametria e Perfilamento a Laser;106/2018;SAI;015/2018
RO;Cujubim, Itapuã do Oeste, Porto Velho;1,430555556;Aerofotogrametria e Perfilamento a Laser;106/2018;SAI;015/2018
PA;Tucuruí, Breu Branco, Baião, Mocajuba, Moju, Cametá, Oeiras do Pará, Bagre, Limoeiro do Ajaru, Igarapé-Miri, Acará, São Sebastião, da Boa Vista, Mauaná;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;107/2018;SAI;016/2018
BA;Mata de São João, Entre Rios, Esplanada, Conde, Jandaíra ;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;116/2018;SAI;017/2018
SE;Indiaroba;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;116/2018;SAI;017/2018
MG;Santos Domont;GSD 25 cm ;Aerofotogrametria e Perfilamento a Laser;127/2018;SAI;018/2018
MG;Rio Preto;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;128/2018;SAI;019/2018
RO;Porto Velo, Novo Mamoré, Guajará-Mirim;3,513888889;Aerofotogrametria e Perfilamento a Laser;140/2018;SAI;020/2018
PA;Xinguara, Canaã dos Carajás, Curionópolis, Marabá, Itupiranga, Novo Repartimento, Pacajá, Anapu;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;144/2018;SAI;021/2018
MG;Muriaé, Vieiras, Miradouro, São Francisco do Glória, Fervedouro;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;151/2018;SAI;022/2018
PA;Pacajá, Barcarena, Belém;1:2.000;Aerofotogrametria e Perfilamento a Laser;155/2018;SAI;024/2018
MG;Santa Vitória, Carneirinho, Itaruma, Limeira do Oeste;1,430555556;Aerofotogrametria e Perfilamento a Laser;160/2018;SAI;025/2018
GO;São Simão, Caçu,  Itarumã, Itajá, Lagoa Santa;1,430555556;Aerofotogrametria e Perfilamento a Laser;160/2018;SAI;025/2018
MS;Paranaíba, Aparecida do Taboado;1,430555556;Aerofotogrametria e Perfilamento a Laser;160/2018;SAI;025/2018
AC;Rio Branco, Porto Acre, Senador Guiomard;1:2.000;Aerofotogrametria e Perfilamento a Laser;161/2018;SAI;023/2018
MT;Canarana, Feliz Natal, Nova Ubiratã, União do Sul;1:2.000;Aerofotogrametria e Perfilamento a Laser;161/2018;SAI;023/2018
PA;Santarém, Belterra, Rurópolis;1:2.000;Aerofotogrametria e Perfilamento a Laser;161/2018;SAI;023/2018
PI; Queimada Nova, Dom Inocêncio;GSD 25 cm ;Aerofotogrametria e Perfilamento a Laser ;171/2018;SAI;026/2018
CE; Tianguá;GSD 25 cm ;Aerofotogrametria e Perfilamento a Laser ;171/2018;SAI;026/2018
RN;Pedro Avelino, Fernando Pedroza, Angicos, Carnaúba dos Dantas, Parelhas ;GSD 25 cm ;Aerofotogrametria e Perfilamento a Laser ;171/2018;SAI;026/2018
PB; Picuí, Nova Palmeira, Pedra Lavada;GSD 25 cm ;Aerofotogrametria e Perfilamento a Laser ;171/2018;SAI;026/2018
BA;Rodelas, Glória, Macururé,  Sento Sé, Campo Formoso, Antônio Gonçalves, Pindobaçu, Saúde, Mirangaba, Jacobina, Xique-Xique, Itaguaçu da Bahia, Gentio do Ouro, Ibipeba, Barra do Mendes, Ipupiara;GSD 25 cm ;Aerofotogrametria e Perfilamento a Laser ;171/2018;SAI;026/2018
PA;Curuçá, Soure, Salvaterra, Belém, Santa Bárbara do Pará, Benevides, Marituba, Ananindeua, Barcarena, Abaetuba, Moju, São Domingos do Campim, Aurora do Pará;1,430555556;Aerofotogrametria e Perfilamento a Laser;174/2018;SAI;027/2018
GO;Serranópolis, Itarumã, Jataí;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;179/2018;SAI;028/2018
BA;Camaçari, Dias d' Ávilla;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;227/2018;SAI;030/2018
SC;Tubarão;GSD 10 cm ;Aerofotogrametria e Perfilamento a Laser;228/2018;SAI;031/2018
BA;Urandi, Licínio de Almeida, Pindái, Guanambi, Caetité, Igaraporâ;GSD 25 cm ;Aerofotogrametria e Perfilamento a Laser;229/2018;SAI;032/2018
RS;Santa Maria, São Pedro do Sul, Toropi, Quevedos, Jari, Tupanciretã, Capão do Cipó, São Miguel das Missões, Eugenio de Castro, Entre-Ijuís, Santo Ângelo;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;239/2018;SAI;033/2018
SP;São Paulo, Taboão da Serra, Embu das Artes, Cotia, Itapecerica da Serra, Embu-Guaçu;0,736111111;Aerofotogrametria e Perfilamento a Laser;242/2018;SAI;034/2018
GO;Simolândia, Buritinópolis, Alvorada do Norte, Posse;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;246/2018;SAI;035/2018
SC;Tijucas, São João Batista, Angelina, Major Gercino, Canelinha;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;246/2018;SAI;035/2018
MG;Córrego Novo, Raul Soares, Abre Campo, São Pedro dos Ferros, Simonésia, Manhuaçu, Reduto, Ipanema, Caratinga, Santos Dumont, Coronel Pacheco, Piau, Goianá,  Rio Novo, São João Napomuceno, Itamarati de Minas, Descoberto;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;246/2018;SAI;035/2018
BA;Salvador, Lauro de Freitas, Simões Filho, Camaçari, Dias d'Ávila, Mata de São João, Itanagra, Entre Rios, Esplanada, Conde, Jandaíra;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;213/2018;SAI;029/2018
SC;Tubarão;GSD 10 cm ;Aerofotogrametria e Perfilamento a Laser;021/2019;SAI;001/2019
SP;Itápolis;GSD 10 cm ;Aerofotogrametria e Perfilamento a Laser;036/2019;SAI;004/2019
RN;Equador, Santana do Seridó, Parelhas;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;034/2019;SAI;005/2019
PB;São José do Sabugi;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;034/2019;SAI;005/2019
PB;Santa Luzia, Janco do Seridó, Tenório, Assunção, Salgadinho, Areia de Baraúnas, Passagem, Quixaba, São Mamede;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;035/2019;SAI;006/2019
RN;Equador ;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;035/2019;SAI;006/2019
MG;Entre Rios de Minas, São Brás do Suaçuí, Conselheiro Lafaiete, Ouro Branco, Ouro Preto, Congonhas, Jeceaba, Belo Vale;GSD 25 cm;Aerofotogrametria e perfilamento a laser;124/2019;SAI;019/2019
MT;Pontes e Lacerda, Vale de São Domingos;GSD 20 cm;Aerofotogrametria e perfilamento a laser;065/2019;SAI;009/2019
PR;Turvo, Boa Ventura de São Roque, Cândido de Abreu, Campo Mourão, Peabiru, Quinta do Sol, Engenheiro Beltrão;GSD 20 cm;Aerofotogrametria e perfilamento a laser;065/2019;SAI;009/2019
PR;Palmeira, Porto Amazonas, Balsa Nova;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;070/2019;SAI;011/2019
SP;Panomara, Paulicéia, Santa Mercedes, Tupi Paulista, Dracena, Junquierópolis, Irapuru, Pacaebu, Flórida Paulista, Adamantina, Lucélia, Inúbia Pulista, Osvando Cruz, Parapuã, Matinópolis, Ranchaia, João Ramalho, Quatá, Paraguaçu Paulista, Assis, Quintana, Pompéia, Jaú, Mineiros do Tiête, Dois Córregos, Torrinha, Santa Maria da Serra, São Pedro, Piraciaba, Charqueada;GSD 25 cm;Aerofotogrametria e perfilamento a laser;074/2019;SAI;012/2019
SC;Araranguá, Maracajá, Criciúma, Balneário Rincão, Içara, Sangão, Jaguaruna, Treze de Maio, Tubarão, Capivari de Baixo, Pescaria Brava, Laguna, Imbituba, Garopaba, Paulo Lopes, Palhoça;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;083/2019;SAI;013/2019
PA;Brasil Novo, Altamira, Anapu, Vitória do Xingu, Senador José Potfírio, Portel, Porto de Moz;GSD 20 cm;Aerofotogrametria e perfilamento a laser;103/2019;SAI;015/2019
SC;Lages;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;127/2019;SAI;018/2019
ES;Mimoso do Sul, Muqui, Alegre, Ibitirama, Divino de São Lourenço;GSD 25 cm;Aerofotogrametria e perfilamento a laser;172/2019;SAI;021/2019
SP;Piracicaba, Charqueada;GSD 25 cm;Aerofotogrametria e perfilamento a laser;181/2019;SAI;023/2019
TO;Araguaçu, Gurupi, Palmas, Paraíso do Tocantins;GSD 20 cm;Aerofotogrametria e perfilamento a laser;198/2019;SAI;026/2019
SP;Cubatão, São Vicente, Praia Grande, São Bernardo do Campo, São Paulo, Embu-Guaçu, São Lourenço da Serra, Itapecerica da Serra, Cotia, Vargem Grande Paulista, Ibiúna, São Roque, Mairinque, Alumínio,  Itu, Salto, Indaiatuba, Campinas;GSD 12 cm;Aerofotogrametria e perfilamento a laser;202/2019;SAI;027/2019
MG;Conselheiro Lafaiete, Ouro Preto, Ouro Branco, Congonhas, Itabiro;GSD 25 cm;Aerofotogrametria e perfilamento a laser;215/2019;SAI;029/2019
BA;Gentio de Ouro,  Ipupiara, Brotas de Macaúbas;GSD 20 cm;Aerofotogrametria e perfilamento a laser;230/2019;SAI;032/219
MS;Cassilândia;GSD 25 cm;Aerofotogrametria e perfilamento a laser;229/2019;SAI;033/2019
GO;Aporé, Itajá, Itarumã, Serranópolis, Jataí;GSD 25 cm;Aerofotogrametria e perfilamento a laser;229/2019;SAI;033/2019
SP;Catanduva;GSD 10 cm;Aerofotogramteria e Perfilamento a Laser;044/2019;SAI;008/2019
MA;Caxias, Imperatriz;GSD 10 cm;Aerofotogramteria e Perfilamento a Laser;204/2019;SAI;028/2019
RS;Santa Maria, Restinga Seca, Agudo, Paraíso do Sul, Novo Cabrais, Cerro Branco, Candelária, Vale do Sol, Vera Cruz, Santa Cruz do Sul, Passo do Sobrado, Venâncio Aires, Bom Retiro do Sul, Taquari, Tabaí, Triunfo;GSD 10 cm;Aerofotogramteria e Perfilamento a Laser;193/2019;SAI;025/2019
RS;Nova Prata, Nova Bassano, Nova Araçá, Paraí, Casca, Santo Antônio do Palma, Vila Maria, Marau, Mato Castelhano, Passo Fundo;GSD 10 cm;Aerofotogramteria e Perfilamento a Laser;222/2019;SAI;031/2019
MT;Querência, Paranatinga;GSD 20 cm;Aerofotogramteria e Perfilamento a Laser;254/2019;SAI;035/2019
MA;Imperatriz, Caxias;GSD 10 cm;Aerofotogrametria e perfilamento a laser;204/2019;SAI;028/2019
PA;Faro, Terra Santa, Oriximiná, Melgaço, Portel, Altamira, Itaituba;1:2.000;Aerofotogrametria e perfilamento a laser;064/2019;SAI;010/2019
RO;Cujubim, Itapuã do Oeste, Candeias de Jamari, Porto Velho;1:2.000;Aerofotogrametria e perfilamento a laser;064/2019;SAI;010/2019
MT;Tangará  da Serra, Campo Novo de Parecis, Brasnorte;GSD 20 cm ;Aerofotogrametria e perfilamento a laser;276/2019;SAI ;042/2019
MG;Unaí;GSD 10 cm;Aerofotogrametria;073/2017;SERTEC;001/2017
RS;Alto Alegre, Barros Cassal, Boa Vista do Incra, Campos Borges, Colorado, Fontoura Xavier, Fortaleza dos Valos, Lagoa dos Três Cantos, Mormaço, Quinze de Novembro, Saldanha Marinho, Santa Barbara do Sul, São José do Herval, Soledade;GSD 10 cm;Aerofotogrametria;128/2017;SERTEC;002/2017
RS;Bento Gonçalves, Fagundes Varela, Garibaldi, Itapuca;GSD 10 cm;Aerofotogrametria;175/2017;SERTEC;003/2017
RS;Nova Boa Vista, Novo Barreiro, Palmeira das Missões, São Pedro das Missões, Lajeado do Bugre, Três Palmeiras, Independência, Boa Vista do Buricá, Tucunduva, Tuparendi, Alecrim, Porto Lucena;GSD 10 cm;Aerofotogrametria;176/2017;SERTEC;004/2017
DF;Brasília;GSD 10 cm;Aerofotogrametria;197/2017;SERTEC;006/2017
MG;Arinos;GSD 10 cm;Aerofotogrametria;110/2018;SERTEC;001/2018
MG;Arinos;GSD 10 cm;Aerofotogrametria;113/2018;SERTEC;002/2018
MG;Unaí;GSD 10 cm;Aerofotogrametria;109/2018;SERTEC;003/2018
MG;Conquista, Delta, Uberaba, Água Comprida , Conceição das Alagoas;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;197/2018;SERTEC;006/2018
SP;Igarapava, Aramina, Miguelópolis;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;197/2018;SERTEC;006/2018
MG;Paracatu;GSD 10 cm;Aerofotogrametria;158/2018;SERTEC;004/2018
DF;Brasília;GSD 10 cm;Aerofotogrametria;211/2018;SERTEC;007/2018
MG;Arinos;GSD 10 cm;Aerofotogrametria;033/2019;SERTEC;004/2019
